Job ID,Agency,Posting Type,# Of Positions,Business Title,Civil Service Title,Title Classification,Level,Job Category,Full-Time/Part-Time indicator,Career Level,Work Location,Division/Work Unit,Residency Requirement,Salary From Annual,Salary To Annual,Title Seniority,Borough,Salary Spread,Is Full Time,Is External,Career Level Encoded,Job Category Encoded,Agency Encoded,Borough Encoded,Title Seniority Encoded,Title Classification Encoded,Posting Type Encoded
618642,TAXI & LIMOUSINE COMMISSION,External,1,Legal Affairs Interne,AGENCY ATTORNEY INTERNE,Non-Competitive-5,0,Legal Affairs,F,Experienced (non-manager),"33 Beaver St, New York Ny",Legal Affairs,New York City Residency is not required for this position.,68183.0,78411.0,Junior,Manhattan,10228.0,1,1,3,160,56,2,2,3,0
623549,DEPARTMENT OF TRANSPORTATION,External,1,Program Coordinator,CITY PLANNER,Competitive-1,2,Constituent Services & Community Programs,F,Experienced (non-manager),55 Water St Ny Ny,Franchise/Concessions/Consents,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",71255.0,104894.0,Standard,Other,33639.0,1,1,3,76,18,3,6,0,0
591289,DEPARTMENT OF TRANSPORTATION,Internal,1,Budget Analyst,STAFF ANALYST,Competitive-1,2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),55 Water St Ny Ny,Facilities Management,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",62470.0,80008.0,Standard,Other,17538.0,1,0,3,135,18,3,6,0,1
614724,DEPT OF HEALTH/MENTAL HYGIENE,Internal,1,"Senior Budget Analyst, Finance Administration and Planning",ACCOUNTANT,Competitive-1,2,"Finance, Accounting, & Procurement",F,Experienced (non-manager),42-09 28th Street,Fin-Fin. Admin & Planning,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",61206.0,75250.0,Senior,Other,14044.0,1,0,3,135,22,3,5,0,1
614997,DEPT OF HEALTH/MENTAL HYGIENE,External,4,"Sexual Health Clinic Nurse, Bureau of Public Health Clinics",CONSULTANT PUBLIC HEALTH NURSE,Competitive-1,0,Health,F,Experienced (non-manager),1309 Fulton Ave Bronx,Medical Services,New York City Residency is not required for this position,92064.0,92064.0,Standard,Manhattan,0.0,1,1,3,152,22,2,6,0,0
627755,BRONX DISTRICT ATTORNEY,External,20,Assistant District Attorney -  Various Bureau,ASSISTANT DISTRICT ATTORNEY (S,Exempt-4,0,"Legal Affairs Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),198 E161St Street Bronx N.Y.,Assistant District Attorney,New York State Residency is REQUIRED on the first day of employment.,88000.0,198500.0,Mid,Bronx,110500.0,1,1,3,163,3,0,4,1,0
558888,DEPT OF ENVIRONMENT PROTECTION,Internal,1,Chief of Bluebelt Planning and Design,ADMINISTRATIVE CONSTRUCTION PR,Competitive-1,M2,"Engineering, Architecture, & Planning",F,Manager,59-17 Junction Blvd Corona Ny,"CAP. PLAN. - ADMIN.,BLUEBELT",New York City Residency is not required for this position,64922.0,151469.0,Executive,Queens,86547.0,1,0,4,123,21,4,1,0,1
598942,DEPT OF ENVIRONMENT PROTECTION,Internal,2,DESIGN LEAD,ASSOCIATE URBAN DESIGNER,Competitive-1,3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),96-05 Horace Harding Expway,ARCHITECTURAL DESIGN,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",85210.0,129168.0,Senior,Other,43958.0,1,0,3,131,21,3,5,0,1
527839,DEPARTMENT OF TRANSPORTATION,External,2,TEAM LEADER,CIVIL ENGINEER,Competitive-1,3,"Engineering, Architecture, & Planning Public Safety, Inspections, & Enforcement",F,Experienced (non-manager),55 Water St Ny Ny,Bridge Inspection,New York City Residency is not required for this position,90114.0,122168.0,Senior,Other,32054.0,1,1,3,131,18,3,5,0,0
628728,DISTRICT ATTORNEY KINGS COUNTY,External,1,Social Worker,COMMUNITY COORDINATOR,Non-Competitive-5,0,Legal Affairs Social Services,F,Experienced (non-manager),"350 Jay St, Brooklyn  Ny",Human Trafficking,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",67983.0,67983.0,Standard,Brooklyn,0.0,1,1,3,165,27,1,6,3,0
628637,DISTRICT ATTORNEY-MANHATTAN,External,1,Expeditor,COMMUNITY ASSOCIATE,Non-Competitive-5,0,Legal Affairs,F,Entry-Level,"1 Hogan Pl./100 Centre St., N.",CMS Central,City Residency is not required for this position.,45692.0,45692.0,Standard,Manhattan,0.0,1,1,1,160,29,2,6,3,0
615111,HRA/DEPT OF SOCIAL SERVICES,External,15,MEDICAID HELPLINE AGENT,ELIGIBILITY SPECIALIST,Competitive-1,2,Constituent Services & Community Programs Social Services,F,Experienced (non-manager),470 Vanderbilt Ave,Constituent Services-NM MD,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",41248.0,47435.0,Standard,Other,6187.0,1,1,3,121,34,3,6,0,0
623934,HOUSING PRESERVATION & DVLPMNT,Internal,1,Rent Increase Specialist,COMMUNITY ASSOCIATE,Non-Competitive-5,0,Constituent Services & Community Programs,F,Entry-Level,100 Gold Street,Moderate Rehab Program,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",48170.0,48170.0,Standard,Other,0.0,1,0,1,76,33,3,6,3,1
624195,CONSUMER AND WORKER PROTECTION,Internal,1,Staff Counsel - 624195,AGENCY ATTORNEY,Non-Competitive-5,2,Legal Affairs,F,Experienced (non-manager),"42 Broadway, N.Y.",General Counsel's Office,New York City Residency is not required for this position,78046.0,89753.0,Standard,Manhattan,11707.0,1,0,3,160,8,2,6,3,1
606796,DEPARTMENT OF TRANSPORTATION,External,1,"Program Lead, Freight Planning and Policy",CITY PLANNER,Competitive-1,3,"Engineering, Architecture, & Planning Policy, Research & Analysis",F,Experienced (non-manager),55 Water St Ny Ny,Regional & Strategic Planning,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",80091.0,116999.0,Senior,Other,36908.0,1,1,3,129,18,3,5,0,0
622559,DEPT OF ENVIRONMENT PROTECTION,External,1,"Deputy Chief, Watershed Lands & Community Planning",ADM CITY PLANNER (NON MGRL),Competitive-1,0,"Engineering, Architecture, & Planning",F,Manager,"71 Smith Avenue, Kingston, Ny",KINGSTON (WATERSHED PERSONNEL),New York City residency is not required for this position.,90000.0,110000.0,Executive,Other,20000.0,1,1,4,123,21,3,1,0,0
620155,DISTRICT ATTORNEY-MANHATTAN,Internal,1,Buyer,COMMUNITY ASSOCIATE,Non-Competitive-5,0,"Finance, Accounting, & Procurement",F,Experienced (non-manager),"1 Hogan Pl./100 Centre St., N.",Procurement And Contract Mgmt,City Residency is not required for this position.,53019.0,55855.0,Standard,Manhattan,2836.0,1,0,3,135,29,2,6,3,1
555525,HRA/DEPT OF SOCIAL SERVICES,Internal,2,QUALITY CONTROL CASE REVIEWER,PRINCIPAL ADMINISTRATIVE ASSOC,Competitive-1,2,"Constituent Services & Community Programs Communications & Intergovernmental Affairs Finance, Accounting, & Procurement Social Services",F,Experienced (non-manager),4 World Trade Center,Off Of Qual Asse-Fisc Int NM,"New York City residency is generally required within 90 days of appointment. However, City Employees in certain titles who have worked for the City for 2 continuous years may also be eligible to reside in Nassau, Suffolk, Putnam, Westchester, Rockland, or Orange County. To determine if the residency requirement applies to you, please discuss with the agency representative at the time of interview.",53057.0,61015.0,Standard,Other,7958.0,1,0,3,83,34,3,6,0,1
